video_title,cover_link,post_time,post_date,influencer_id,unique_id
#trump #trump2024🇺🇸 #arizonafortrump #101gotyour6 #trumpismypresident ,https://s.500fd.com/tt_video/oAir0zrAjpqiC3iIAoIAUoAqLdAfat21wgmEiB,11/14/24 12:01,11/14/2024,101gotyour6,101gotyour6_00212
#colorfxbyimpress #betterthings #amazingcolor #101gotyour6 #pressonnails ,https://s.500fd.com/tt_video/5b7ea8672a1e49d5b467fd662eefd47f_1731295022,11/11/24 11:16,11/11/2024,101gotyour6,101gotyour6_00286
#christmasnails #pressonnails ,https://s.500fd.com/tt_video/oQRxR4id3gnE29BAiUr17PZnZBRBLIYv1EEGl~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg,12/5/24 13:45,12/5/2024,101gotyour6,101gotyour6_00105
#dragonfidget #stockingstuffers #101gotyour6 #christmasgift #christmasgiftideas ,https://s.500fd.com/tt_video/oscBKeDiQIXL8PMIncOIKGfCiQN1qaneAAaLaj,11/26/24 11:01,11/26/2024,101gotyour6,101gotyour6_00060
#vibrationplate #101gotyour6 #tiktokshop ,https://s.500fd.com/tt_video/oUABA5s2oIzIfA3Z9dBwMEpApuEIiliw3RaCVQ,1/2/25 12:18,1/2/2025,101gotyour6,101gotyour6_00311
#3dprinting #groot #gecko #geckosoftiktok #fidgettoys #101gotyour6 ,https://s.500fd.com/tt_video/oQI3RzapfAA0BQBdCYyFEQIAZiIvqoV5CqiEiy,11/26/24 11:50,11/26/2024,101gotyour6,101gotyour6_00176
Must have for content creation is a selfie 🤳 light! It changes the game! #mamen #selfie #selfielight #contentcreator #codeorange #tiktokshop #tiktokmademebuyit ,https://s.500fd.com/tt_video/ooNVRbdcmESAEADrsC1F6DBEIfDAaIApCgfpEM.jpeg,9/2/24 20:32,9/2/2024,Kc | Digital Creator,Kc | Digital Creator_00004
"This is a #treatyourself  #creativesolution for your #musthaves - being a  #contentcreator ⚡ So many Modes packed in this small #selfielight  for your phone, laptop, live streaming etc! It's been with me for a while now and I can't recommend it enough!#thanksgivingvibes #blackfriday #cybermonday #giftideas #evolutioncreator",https://s.500fd.com/tt_video/ooA8HI6NkQrFuj9gpo18CXv9fMJirbQ2OeGeuA~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg,10/1/24 1:28,10/1/2024,Kc | Digital Creator,Kc | Digital Creator_00027
"This is a #treatyourself  #creativesolution for your #musthaves - being a  #contentcreator ⚡ So many Modes packed in this small #selfielight  for your phone, laptop, live streaming etc! It's been with me for a while now and I can't recommend it enough!#thanksgivingvibes #blackfriday #cybermonday #giftideas #evolutioncreator",https://s.500fd.com/tt_video/ooA8HI6NkQrFuj9gpo18CXv9fMJirbQ2OeGeuA~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg,10/1/24 1:28,10/1/2024,Kc | Digital Creator,Kc | Digital Creator_00027
"This is a #treatyourself  #creativesolution for your #musthaves - being a  #contentcreator ⚡ So many Modes packed in this small #selfielight  for your phone, laptop, live streaming etc! It's been with me for a while now and I can't recommend it enough!#thanksgivingvibes #blackfriday #cybermonday #giftideas #evolutioncreator",https://s.500fd.com/tt_video/ooA8HI6NkQrFuj9gpo18CXv9fMJirbQ2OeGeuA~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg,10/1/24 1:28,10/1/2024,Kc | Digital Creator,Kc | Digital Creator_00027
